課綱,跨部,跨系,已選,停修,語音代碼,課程代碼,科目代號,課程名稱,課程英文名稱,課程類別,開課班級,必選修,期程,學分,授課教師,時間1,教室1,時間2,教室2,時間3,教室3,備註,跨就微PBL,權責單位,開課人數,實際修課人數,開課鐘點數,教師授課鐘點數,選課登記人數,授課語言,系代碼,選課餘額
◎,,,,,2539504,GQ395D,GQ395,生活社會學,Sociology of Everyday Life,公民,基礎必修通識,必修,半,2,黃國清,2-56.,教學618,,,,,法學院得不選修,跨:人文素養,通識中心,60,59,2,2,545,國語,,0
◎,,,,,2539601,GQ396A,GQ396,全球化大議題,Big Issues of Globalization,公民,基礎必修通識,必修,半,2,何彩滿,1-78.,教學302,,,,,法學院得不選修,"跨:人文素養,跨:中國大陸經營,跨:國際菁英",通識中心,60,60,2,2,514,國語,,0
◎,,,,,2539603,GQ396C,GQ396,全球化大議題,Big Issues of Globalization,公民,基礎必修通識,必修,半,2,林能山,4-DE.,教學417,,,,,法學院得不選修,"跨:人文素養,跨:中國大陸經營,跨:國際菁英",通識中心,60,63,2,2,519,國語,,0
◎,,,,,2539604,GQ396D,GQ396,全球化大議題,Big Issues of Globalization,公民,基礎必修通識,必修,半,2,林能山,4-FG.,教學417,,,,,法學院得不選修,"跨:人文素養,跨:中國大陸經營,跨:國際菁英",通識中心,60,59,2,2,354,國語,,0
◎,,,,,2539605,GQ396E,GQ396,全球化大議題,Big Issues of Globalization,公民,基礎必修通識,必修,半,2,黃基禎,2-CD.,教學302,,,,,法學院得不選修；全英語授課,"創:PBL課程,跨:人文素養,跨:中國大陸經營,跨:國際菁英",通識中心,80,78,2,2,746,英語,,0
◎,,,,,2539701,GQ397A,GQ397,經濟學的世界,The World of Economics,公民,基礎必修通識,必修,半,2,姜樹翰,1-12.,教學508,,,,,法學院得不選修,,通識中心,60,59,2,2,956,國語,,0
◎,,,,,2539702,GQ397B,GQ397,經濟學的世界,The World of Economics,公民,基礎必修通識,必修,半,2,姜樹翰,1-34.,教學508,,,,,法學院得不選修,,通識中心,60,60,2,2,916,國語,,0
◎,,,,,2539703,GQ397C,GQ397,經濟學的世界,The World of Economics,公民,基礎必修通識,必修,半,2,姜樹翰,3-56.,教學812,,,,,法學院得不選修,,通識中心,60,60,2,2,1143,國語,,0
◎,,,,,2545601,GQ456A,GQ456,區域文明史,History of Regional Civilizations,歷史,基礎必修通識,必修,半,2,柯惠鈴,2-34.,教學401,,,,,,"創:PBL課程,跨:國際菁英",通識中心,60,60,2,2,541,國語,,0
◎,,,,,2545602,GQ456B,GQ456,區域文明史,History of Regional Civilizations,歷史,基礎必修通識,必修,半,2,柯惠鈴,2-78.,教學815,,,,,,"創:PBL課程,跨:國際菁英",通識中心,60,60,2,2,764,國語,,0
◎,,,,,2545603,GQ456C,GQ456,區域文明史,History of Regional Civilizations,歷史,基礎必修通識,必修,半,2,柯惠鈴,3-78.,懷恩204,,,,,,"創:PBL課程,跨:國際菁英",通識中心,60,60,2,2,620,國語,,0
◎,,,,,2545604,GQ456D,GQ456,區域文明史,History of Regional Civilizations,歷史,基礎必修通識,必修,半,2,柯惠鈴,4-34.,教學618,,,,,,"創:PBL課程,跨:國際菁英",通識中心,60,60,2,2,599,國語,,0
◎,,,,,2545605,GQ456E,GQ456,區域文明史,History of Regional Civilizations,歷史,基礎必修通識,必修,半,2,楊凡逸,3-CD.,教學302,,,,,,"創:PBL課程,跨:國際菁英",通識中心,85,83,2,2,559,國語,,0
◎,,,,,2545606,GQ456F,GQ456,區域文明史,History of Regional Civilizations,歷史,基礎必修通識,必修,半,2,楊凡逸,3-EF.,教學302,,,,,,"創:PBL課程,跨:國際菁英",通識中心,85,84,2,2,494,國語,,0
◎,,,,,2545607,GQ456G,GQ456,區域文明史,History of Regional Civilizations,歷史,基礎必修通識,必修,半,2,王瑞傑,3-DE.,教學401,,,,,,跨:國際菁英,通識中心,60,60,2,2,534,國語,,0
◎,,,,,2545608,GQ456H,GQ456,區域文明史,History of Regional Civilizations,歷史,基礎必修通識,必修,半,2,王瑞傑,3-FG.,教學401,,,,,,跨:國際菁英,通識中心,60,59,2,2,358,國語,,0
◎,,,,,2545609,GQ456I,GQ456,區域文明史,History of Regional Civilizations,歷史,基礎必修通識,必修,半,2,陳仲志,4-8C.,教學402,,,,,,跨:國際菁英,通識中心,75,73,2,2,839,國語,,0
◎,,,,,2545610,GQ456J,GQ456,區域文明史,History of Regional Civilizations,歷史,基礎必修通識,必修,半,2,陳仲志,4-DE.,教學402,,,,,,跨:國際菁英,通識中心,75,74,2,2,1110,國語,,0
◎,,,,,2545611,GQ456K,GQ456,區域文明史,History of Regional Civilizations,歷史,基礎必修通識,必修,半,2,陳仲志,4-FG.,教學402,,,,,,跨:國際菁英,通識中心,75,75,2,2,773,國語,,0
◎,,,,,2545612,GQ456L,GQ456,區域文明史,History of Regional Civilizations,歷史,基礎必修通識,必修,半,2,游智勝,5-56.,懷恩203,,,,,,跨:國際菁英,通識中心,60,60,2,2,497,國語,,0
◎,,,,,2545613,GQ456M,GQ456,區域文明史,History of Regional Civilizations,歷史,基礎必修通識,必修,半,2,游智勝,5-78.,懷恩203,,,,,,跨:國際菁英,通識中心,60,60,2,2,471,國語,,0
